Strain,Plasmid,Replicate,Inducer,Media,Type,Plate,well
E.coli EW11,pLW002,1,DMSO,M9sa,PosCtrl,1,A1
E.coli EW11,pLW002,2,DMSO,M9sa,PosCtrl,1,A2
E.coli EW11,pLW002,3,DMSO,M9sa,PosCtrl,1,A3
E.coli EW11,pLW002,4,DMSO,M9sa,PosCtrl,1,A4
E.coli EW11,pLW002,5,DMSO,M9sa,PosCtrl,1,A5
E.coli EW11,pLW002,6,DMSO,M9sa,PosCtrl,1,A6
E.coli EW11,pLW002,1,4-HT,M9sa,PosCtrl,1,A7
E.coli EW11,pLW002,2,4-HT,M9sa,PosCtrl,1,A8
E.coli EW11,pLW002,3,4-HT,M9sa,PosCtrl,1,A9
E.coli EW11,pLW002,4,4-HT,M9sa,PosCtrl,1,A10
E.coli EW11,pLW002,5,4-HT,M9sa,PosCtrl,1,A11
E.coli EW11,pLW002,6,4-HT,M9sa,PosCtrl,1,A12
E.coli EW11,DV41,1,DMSO,M9sa,Structural,1,B1
E.coli EW11,DV41,2,DMSO,M9sa,Structural,1,B2
E.coli EW11,DV41,3,DMSO,M9sa,Structural,1,B3
E.coli EW11,DV41,4,DMSO,M9sa,Structural,1,B4
E.coli EW11,DV41,5,DMSO,M9sa,Structural,1,B5
E.coli EW11,DV41,6,DMSO,M9sa,Structural,1,B6
E.coli EW11,DV41,1,4-HT,M9sa,Structural,1,B7
E.coli EW11,DV41,2,4-HT,M9sa,Structural,1,B8
E.coli EW11,DV41,3,4-HT,M9sa,Structural,1,B9
E.coli EW11,DV41,4,4-HT,M9sa,Structural,1,B10
E.coli EW11,DV41,5,4-HT,M9sa,Structural,1,B11
E.coli EW11,DV41,6,4-HT,M9sa,Structural,1,B12
E.coli EW11,DV130,1,DMSO,M9sa,Structural,1,C1
E.coli EW11,DV130,2,DMSO,M9sa,Structural,1,C2
E.coli EW11,DV130,3,DMSO,M9sa,Structural,1,C3
E.coli EW11,DV130,4,DMSO,M9sa,Structural,1,C4
E.coli EW11,DV130,5,DMSO,M9sa,Structural,1,C5
E.coli EW11,DV130,6,DMSO,M9sa,Structural,1,C6
E.coli EW11,DV130,1,4-HT,M9sa,Structural,1,C7
E.coli EW11,DV130,2,4-HT,M9sa,Structural,1,C8
E.coli EW11,DV130,3,4-HT,M9sa,Structural,1,C9
E.coli EW11,DV130,4,4-HT,M9sa,Structural,1,C10
E.coli EW11,DV130,5,4-HT,M9sa,Structural,1,C11
E.coli EW11,DV130,6,4-HT,M9sa,Structural,1,C12
E.coli EW11,DV264,1,DMSO,M9sa,Dynamic,1,D1
E.coli EW11,DV264,2,DMSO,M9sa,Dynamic,1,D2
E.coli EW11,DV264,3,DMSO,M9sa,Dynamic,1,D3
E.coli EW11,DV264,4,DMSO,M9sa,Dynamic,1,D4
E.coli EW11,DV264,5,DMSO,M9sa,Dynamic,1,D5
E.coli EW11,DV264,6,DMSO,M9sa,Dynamic,1,D6
E.coli EW11,DV264,1,4-HT,M9sa,Dynamic,1,D7
E.coli EW11,DV264,2,4-HT,M9sa,Dynamic,1,D8
E.coli EW11,DV264,3,4-HT,M9sa,Dynamic,1,D9
E.coli EW11,DV264,4,4-HT,M9sa,Dynamic,1,D10
E.coli EW11,DV264,5,4-HT,M9sa,Dynamic,1,D11
E.coli EW11,DV264,6,4-HT,M9sa,Dynamic,1,D12
E.coli EW11,DV496,1,DMSO,M9sa,Dynamic,1,E1
E.coli EW11,DV496,2,DMSO,M9sa,Dynamic,1,E2
E.coli EW11,DV496,3,DMSO,M9sa,Dynamic,1,E3
E.coli EW11,DV496,4,DMSO,M9sa,Dynamic,1,E4
E.coli EW11,DV496,5,DMSO,M9sa,Dynamic,1,E5
E.coli EW11,DV496,6,DMSO,M9sa,Dynamic,1,E6
E.coli EW11,DV496,1,4-HT,M9sa,Dynamic,1,E7
E.coli EW11,DV496,2,4-HT,M9sa,Dynamic,1,E8
E.coli EW11,DV496,3,4-HT,M9sa,Dynamic,1,E9
E.coli EW11,DV496,4,4-HT,M9sa,Dynamic,1,E10
E.coli EW11,DV496,5,4-HT,M9sa,Dynamic,1,E11
E.coli EW11,DV496,6,4-HT,M9sa,Dynamic,1,E12
E.coli EW11,DV543,1,DMSO,M9sa,Distal,1,F1
E.coli EW11,DV543,2,DMSO,M9sa,Distal,1,F2
E.coli EW11,DV543,3,DMSO,M9sa,Distal,1,F3
E.coli EW11,DV543,4,DMSO,M9sa,Distal,1,F4
E.coli EW11,DV543,5,DMSO,M9sa,Distal,1,F5
E.coli EW11,DV543,6,DMSO,M9sa,Distal,1,F6
E.coli EW11,DV543,1,4-HT,M9sa,Distal,1,F7
E.coli EW11,DV543,2,4-HT,M9sa,Distal,1,F8
E.coli EW11,DV543,3,4-HT,M9sa,Distal,1,F9
E.coli EW11,DV543,4,4-HT,M9sa,Distal,1,F10
E.coli EW11,DV543,5,4-HT,M9sa,Distal,1,F11
E.coli EW11,DV543,6,4-HT,M9sa,Distal,1,F12
E.coli EW11,DV565,1,DMSO,M9sa,Distal,1,G1
E.coli EW11,DV565,2,DMSO,M9sa,Distal,1,G2
E.coli EW11,DV565,3,DMSO,M9sa,Distal,1,G3
E.coli EW11,DV565,4,DMSO,M9sa,Distal,1,G4
E.coli EW11,DV565,5,DMSO,M9sa,Distal,1,G5
E.coli EW11,DV565,6,DMSO,M9sa,Distal,1,G6
E.coli EW11,DV565,1,4-HT,M9sa,Distal,1,G7
E.coli EW11,DV565,2,4-HT,M9sa,Distal,1,G8
E.coli EW11,DV565,3,4-HT,M9sa,Distal,1,G9
E.coli EW11,DV565,4,4-HT,M9sa,Distal,1,G10
E.coli EW11,DV565,5,4-HT,M9sa,Distal,1,G11
E.coli EW11,DV565,6,4-HT,M9sa,Distal,1,G12
E.coli EW11,pLW003,1,DMSO,M9sa,NegCtrl,1,H1
E.coli EW11,pLW003,2,DMSO,M9sa,NegCtrl,1,H2
E.coli EW11,pLW003,3,DMSO,M9sa,NegCtrl,1,H3
E.coli EW11,pLW003,4,DMSO,M9sa,NegCtrl,1,H4
E.coli EW11,pLW003,5,DMSO,M9sa,NegCtrl,1,H5
E.coli EW11,pLW003,6,DMSO,M9sa,NegCtrl,1,H6
E.coli EW11,pLW003,1,4-HT,M9sa,NegCtrl,1,H7
E.coli EW11,pLW003,2,4-HT,M9sa,NegCtrl,1,H8
E.coli EW11,pLW003,3,4-HT,M9sa,NegCtrl,1,H9
E.coli EW11,pLW003,4,4-HT,M9sa,NegCtrl,1,H10
E.coli EW11,pLW003,5,4-HT,M9sa,NegCtrl,1,H11
E.coli EW11,pLW003,6,4-HT,M9sa,NegCtrl,1,H12
